Image_ID,Label,cn_caption,en_caption,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-01A.jpg,Normal,姝ｅ父浜哄彸鐪肩溂搴曞僵鍍?Color image of the fundus of the right eye in a normal person,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-01B.jpg,Normal,姝ｅ父浜哄乏鐪肩溂搴曞僵鍍忋€備笌鍥?-1A涓哄悓涓€浜?Color image of the fundus of the left eye in a normal person. Same person as Figure 1-1A,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-02A.jpg,Normal,姝ｅ父鍎跨鍙崇溂鐪煎簳褰╁儚,Color image of the fundus of the right eye in a normal child,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-02B.jpg,Normal,姝ｅ父鍎跨宸︾溂鐪煎簳褰╁儚銆備笌鍥?-2A涓哄悓涓€浜?Color image of the fundus of the left eye in a normal child. Same person as Figure 1-2A,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-03A.jpg,Normal,姝ｅ父浜哄彸鐪肩溂搴曞僵鍍忋€傝惫绾圭姸鐪煎簳,Color image of the fundus of the right eye in a normal person. Leopard-shaped fundus,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-03B.jpg,Normal,姝ｅ父浜哄乏鐪肩溂搴曞僵鍍忋€傝惫绾圭姸鐪煎簳銆備笌鍥?-3A涓哄悓涓€浜?Color image of the fundus of the left eye in a normal person. Leopard-shaped fundus. Same person as Figure 1-3A,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure01-05A.jpg,Normal,姝ｅ父浜哄乏鐪肩溂搴曞僵鍍?Color image of the fundus of the left eye in a normal person,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-01A.jpg,Disease of congenital anomalies,"瑙嗕钩澶村彂鑲蹭笉鑹紙宸︾溂锛夈€備笌鍙崇溂鐩告瘮锛屽乏鐪艰涔冲ご澶х害鍙湁瀵逛晶鐨勪竴鍗婂ぇ灏忥紝棰滆壊鑻嶇櫧锛岃缃戣啘琛€绠℃甯?""Optic papillary dysplasia (left eye). Compared to the right eye", the left optic papilla is approximately half the size of the contralateral one, pale in color," with normal retinal vascularity""",,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-01B.jpg,Disease of congenital anomalies,"瑙嗕钩澶村彂鑲蹭笉鑹紙宸︾溂锛夈€備笌鍙崇溂鐩告瘮锛屽乏鐪艰涔冲ご澶х害鍙湁瀵逛晶鐨勪竴鍗婂ぇ灏忥紝棰滆壊鑻嶇櫧锛岃缃戣啘琛€绠℃甯?""Optic papillary dysplasia (left eye). Compared to the right eye", the left optic papilla is approximately half the size of the contralateral one, pale in color," with normal retinal vascularity""",,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-02A.jpg,Disease of congenital anomalies,鍙岀溂瑙嗕钩澶村€炬枩骞跺彂鑲蹭笉鑹€傚彲瑙佸弻鐪艰涔冲ご鏄庢樉鍙樺皬銆佽竟鐣屼笉娓咃紝鍧囧悜棰炰笂鏂瑰€炬枩,"The optic papillae are tilted and hypoplastic in both eyes. The optic papillae of both eyes are markedly small, poorly defined, and tilted superiorly temporally.",,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-02B.jpg,Disease of congenital anomalies,鍙岀溂瑙嗕钩澶村€炬枩骞跺彂鑲蹭笉鑹€傚彲瑙佸弻鐪艰涔冲ご鏄庢樉鍙樺皬銆佽竟鐣屼笉娓咃紝鍧囧悜棰炰笂鏂瑰€炬枩,"The optic papillae are tilted and hypoplastic in both eyes. The optic papillae of both eyes are markedly small, poorly defined, and tilted superiorly temporally.",,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-03A.jpg,Disease of congenital anomalies,"宸︾溂鍏堝ぉ鎬ц涔冲ご灏忓嚬浼磋缃戣啘鑴辩褰╄壊鐪煎簳鍍忋€傚僵鍍忓彲瑙佽涔冲ご棰炰晶灏忓嚬锛屽懆鍦冭壊绱犳矇绉紝榛勬枒鍖哄拰瑙嗙洏涓嬫柟瑙嗙綉鑶滆劚绂?""Color fundus image of congenital optic papillary notch with retinal detachment in the left eye. The color image shows a temporal notch in the optic papilla", peripapillary pigmentation," and retinal detachment in the macula and below the optic disc.""",,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-04A.jpg,Disease of congenital anomalies,宸︾溂鍏堝ぉ鎬ц鐩樺皬鍑逛即瑙嗙綉鑶滆劚绂荤溂搴曞僵鍍忋€傛樉绀鸿鐩橀渚у皬鍑癸紝鍛ㄥ洿鑹茬礌娌夌Н锛岃鐩橀粍鏂戦棿涓婃柟瑙嗙綉鑶滆劚绂?Fundus color image of a congenital optic disc notch with retinal detachment in the left eye. It shows a temporal notch of the optic disk with surrounding pigmentation and a retinal detachment above the macula of the optic disk.,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-05A.jpg,Disease of congenital anomalies,鍙崇溂鍏堝ぉ鎬ц鐩樺皬鍑逛即瑙嗙綉鑶滆劚绂荤溂搴曞僵鍍忋€傛樉绀鸿鐩橀渚у皬鍑癸紝鍛ㄥ洿鑹茬礌娌夌Н锛屽悗鏋侀儴瑙嗙綉鑶滆劚绂?Funduscopic color image of congenital optic disc notch with retinal detachment in the right eye. It shows a temporal notch in the optic disc with peripheral pigmentation and retinal detachment at the posterior pole.,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-06A.jpg,Disease of congenital anomalies,宸︾溂瑙嗕钩澶寸幓鐠冭啘鐤ｏ紙鍩嬭棌鎬э級鐪煎簳褰╁儚銆傚彲瑙佽涔冲ご榧讳晶闅嗚捣銆佽竟鐣屼笉娓?Fundus color image of a vitreous wart (buried) of the left optic papilla. The optic papilla is seen to be elevated nasally and poorly demarcated,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-07A.jpg,Disease of congenital anomalies,鍏堝ぉ鎬ц涔冲ご鐜荤拑鑶滅枺锛堟樉鎬э級鐨勭溂搴曞僵鍍忋€傛樉绀鸿涔冲ご琛ㄩ潰琛€绠￠蓟渚у彲瑙佹钁氭牱鐧借壊鑳剁姸鐥呯伓銆?Fundus color image of a congenital optic papillary vitreous wart (dominant). It shows a mulberry-like white gelatinous lesion visible on the vascular nasal side of the optic papilla surface.,,,,,,,,,,,,,,,,,,
39_MM_Retinal_dataset/CFP/figure02-08A.jpg,Disease of congenital anomalies,瑙嗕钩澶村墠琛€绠¤ⅱ,preoptic papillary vascular collaterals,,,,,,,,,,,,,,,,,
